Date,Open,High,Low,Close,Adj Close,Volume
2022-02-18,83.879997,84.940002,78.769997,81.889999,81.889999,2933300
2022-02-22,79.360001,82.669998,77.110001,79.389999,79.389999,3131500
2022-02-23,80.660004,80.980003,72.580002,73.489998,73.489998,4095300
2022-02-24,69.809998,79.949997,69.500000,79.949997,79.949997,5077500
2022-02-25,79.110001,82.080002,75.419998,81.629997,81.629997,2877700
2022-02-28,80.970001,83.500000,77.620003,83.370003,83.370003,4233300
2022-03-01,79.459999,91.000000,79.000000,83.739998,83.739998,7183500
2022-03-02,83.930000,87.070000,79.099998,86.389999,86.389999,4208700
2022-03-03,85.480003,85.610001,79.239998,80.529999,80.529999,2835600
2022-03-04,79.209999,82.000000,70.910004,71.720001,71.720001,4046000
2022-03-07,70.000000,74.540001,65.820000,69.730003,69.730003,5105900
2022-03-08,67.480003,74.769997,65.900002,72.790001,72.790001,4403200
2022-03-09,74.000000,79.900002,73.879997,79.070000,79.070000,3274500
2022-03-10,77.500000,79.699997,75.320000,77.769997,77.769997,2757200
2022-03-11,78.559998,80.480003,72.559998,72.989998,72.989998,2953300
2022-03-14,72.550003,83.250000,70.500000,71.930000,71.930000,6488200
2022-03-15,73.400002,74.279999,68.110001,73.800003,73.800003,3764700
2022-03-16,74.430000,78.550003,72.519997,77.489998,77.489998,4139200
2022-03-17,77.650002,82.220001,75.760002,79.230003,79.230003,3998100
2022-03-18,80.099998,85.599998,79.410004,82.300003,82.300003,5451700
2022-03-21,82.879997,83.699997,77.099998,78.559998,78.559998,3652600
2022-03-22,78.059998,85.370003,75.360001,83.800003,83.800003,4540900
2022-03-23,83.000000,83.540001,79.000000,80.180000,80.180000,2793500
2022-03-24,80.099998,82.410004,77.029999,81.449997,81.449997,3248000
2022-03-25,81.379997,81.410004,73.230003,74.129997,74.129997,3949100
2022-03-28,74.769997,78.129997,71.010002,73.849998,73.849998,3080400
2022-03-29,74.629997,80.239998,73.580002,78.830002,78.830002,4338700
2022-03-30,79.699997,82.300003,74.519997,74.750000,74.750000,3180400
2022-03-31,76.400002,76.400002,72.900002,73.650002,73.650002,2314200
2022-04-01,73.300003,76.279999,72.550003,74.320000,74.320000,2491300
2022-04-04,74.980003,77.650002,73.500000,75.290001,75.290001,2644100
2022-04-05,74.480003,75.000000,64.639999,65.230003,65.230003,6661681
